objectid,parentid,identifier,box_num,folder_num,archival_item,id_num,multiple_num,last,matching_objects,extension,object_comments,object-type,title,creator,recipient,date,date_is_approximate,description,subject,associated_names,location_1,latitude_longitude_1,location_2,latitude_longitude_2,doc_length,cabinet,drawer,box,bag,type_point,material,material_source,length_mm,width_mm,thickness_mm,weight_g,count,source,original_format,type,language,rights,student_initials,publish,GGOI,display_template,object_location,image_small,image_thumb
ce_b3_f5-item23,,CE_B3_F5-Item23,B3,F5,F5-Item23,,,3,,,no matching item on server,pdf,Letter between Frederic Engel and Donald Crabtree,"Crabtree, Donald ""Don"" E.","Engel, Frederic",1975-04-29,,"Letter to Frederic Engel noting that Crabtree cannot make any commitments to visit due to Earl Swanson's recent passing. Crabtree is sending some film titles and a paper that would be useful to Engel and his students. He analyzes the flakes Engel sent, noting their flaking qualities.",flintknapping; flaking; visit; lithic technology; lithic technology; article exchange; artifact identification; professional correspondence,Francois Bordes; Earl Swanson,"Kimberly, Idaho","42.53382958860803, -114.36775020586068","Lima, Peru","-12.046078323705165, -77.03585476724051",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,letter,Text,eng,No Copyright,CD,,,,,,
ce_b4_f2-item31a,,CE_B4_F2-Item31a,B4,F2,F2-Item31a,,,a,,,no matching item on server,pdf,Letter to Donald and Evelyn Crabtree from Jeff Flenniken,"Flenniken, John ""Jeff"" J.","Crabtree, Donald ""Don"" E.; Crabtree, Evelyn",N/A,,Letter thanking the Crabtrees for hosting Flenniken's visit. He enjoyed flintknapping and was able to collect more rock material for future use on the drive home.,personal correspondence; travel; visit; flintknapping; experimental archaeology; lithic technology; material sourcing,,"Pullman, Washington","46.73012067223207, -117.1850463189338","Kimberly, Idaho","42.53382958860803, -114.36775020586070",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,letter,Text,eng,No Copyright,CD,,,,,,
ce_b81_f2-item12,,CE_B81_F2-Item12,B81,F2,F2-Item12,,,2,,,no matching item on server,jpg,A line of trees,N/A,N/A,1962-01,yes,"A photographic slide displaying a line of trees. There is a person cut-off by the frame in the foreground, and mountains in the background. The entire slide is tinted red.",nature photography,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,sj,,,,,,
ce_b81_f2-item2,,CE_B81_F2-Item2,B81,F2,F2-Item2,,,2,,,no matching item on server,jpg,A man holding something in front of a decorated shelf,N/A,N/A,1962-01,yes,A photographic slide displaying a man holding something in front of a decorated shelf. The image is very blurry.,anonymous people,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,sj,,,,,,
ce_b81_f2-item3,,CE_B81_F2-Item3,B81,F2,F2-Item3,,,3,,,no matching item on server,jpg,The interior of an ornate cathedral,N/A,N/A,1962-01,yes,A photographic slide displaying the interior of an ornate cathedral. The entire slide is tinted red.,churches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,sj,,,,,,
ce_b81_f2-item4,,CE_B81_F2-Item4,B81,F2,F2-Item4,,,4,,,no matching item on server,jpg,The ornate interior of a cathedral dome,N/A,N/A,1962-01,yes,A photographic slide displaying the ornate interior of a cathedral dome. The entire slide is tinted red.,churches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,sj,,,,,,
ce_b81_f2-item8,,CE_B81_F2-Item8,B81,F2,F2-Item8,,,8,,,no matching item on server,jpg,The ornate exterior of a cathedral,N/A,N/A,1962-01,yes,"A photographic slide displaying the ornate exterior of a cathedral. There is elaborate, carved patterns decorating the stone wall, which is framed by two large trees. The entire slide is tinted red.",churches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,sj,,,,,,
ce_b81_f26-item17,,CE_B81_F26-Item17,B81,F26,F26-Item17,,,7,,,no matching item on server,jpg,An animal painting of a cow-like animal [02],N/A,N/A,N/A,N/A,A photographic slide of a cow like animal painted onto a wall. The painting appears ancient.,cultural artifacts; cave art,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,sj,,,,,,
ce_b81_f8-item17,,CE_B81_F8-Item17,B81,F8,F8-Item17,,,7,,,no matching item on server,jpg,A person skiing on a groomed surface,N/A,N/A,N/A,yes,A photographic slide of a snowy landscape with a person skiing across the hill.,nature photography,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,CD,,,,,,
ce_b81_f8-item18,,CE_B81_F8-Item18,B81,F8,F8-Item18,,,8,,,no matching item on server,jpg,A person skiing with skis in a pizza,N/A,N/A,N/A,yes,A photographic slide of a snowy landscape and a person skiing across a flat surface.,skiing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,CD,,,,,,
